period,high,wave to,speed,speed to,power,per,b,b rate
5.085,0.66,176.38,0.15,58.2,6.334,1.085038687,5.837579874,24.32324948
5.095,0.605,176.2,0.21,171.25,5.114,0.913526883,5.598083749,23.32534895
4.97,0.6,183.72,0.35,330.4,4.948,0.876446244,5.645525934,23.52302472
4.795,0.565,184.755,0.33,326.25,5.114,0.749811163,6.82038392,28.41826633
4.96,0.63,186.965,0.25,319.1,6.592,0.964337755,6.835779236,28.48241348
5.06,0.65,192.095,0.225,264.55,6.622,1.047233737,6.323325695,26.3471904
5.2,0.625,193.43,0.11,241.85,6.086,0.995015333,6.116488661,25.48536942
5.055,0.63,192.66,0.12,282.1,6.622,0.982807933,6.737837348,28.07432228
5.255,0.655,187.91,0.12,307.75,5.93,1.104388092,5.369489263,22.37287193
5.4,0.66,189.26,0.095,331.25,6.422,1.152253473,5.573426467,23.22261028
5.275,0.67,191.24,0.045,319.1,5.93,1.15994785,5.112298801,21.301245
5.36,0.63,195.5,0.04,50.15,5.084,1.042106928,4.878578063,20.32740859
5.355,0.665,192.505,0.035,89.85,5.564,1.160029839,4.796428345,19.9851181
5.425,0.725,195.46,0.1,76.35,7.054,1.396825486,5.050022405,21.04176002
5.095,0.73,191.305,0.095,59.3,6.962,1.330014278,5.234530271,21.8105428
4.955,0.75,193.54,0.03,23.95,8.486,1.365314116,6.215419516,25.89758132
5.115,0.75,194.835,0.04,274.3,7.514,1.409400949,5.331343083,22.21392951
5.385,0.805,191.95,0.095,316.75,9.27,1.709400643,5.422953382,22.59563909
5.52,0.785,193.39,0.085,328.2,9.782,1.666267739,5.870605168,24.46085487
5.45,0.725,192.57,0.095,317.5,8.506,1.40326247,6.06158875,25.25661979
5.28,0.7,191.245,0.055,176.2,7.388,1.267349498,5.829489031,24.28953763
5.31,0.735,189.775,0.03,258.6,6.652,1.405191758,4.73387348,19.72447283
5.475,0.725,193.58,0.075,142.7,6.576,1.409699453,4.664824111,19.43676713
5.755,0.72,190.1,0.115,129.1,7.294,1.461425616,4.991016935,20.79590389
5.695,0.685,192.585,0.165,83.9,5.84,1.309004882,4.461404295,18.58918456
5.7,0.68,184.68,0.185,30.4,6.686,1.291097606,5.178539538,21.57724808
5.805,0.685,194.99,0.25,322.75,5.79,1.334288558,4.33939118,18.08079658
5.78,0.64,187.425,0.35,284.65,5.956,1.159722762,5.135710185,21.39879244
5.795,0.63,187.62,0.31,284.55,5.484,1.126680905,4.86739411,20.28080879
5.79,0.71,185.84,0.34,314.9,7.268,1.429755105,5.083388039,21.1807835
5.83,0.81,191.03,0.26,327.5,11.538,1.873721272,6.157799548,25.65749812
5.98,0.905,188.905,0.045,275.95,11.296,2.399190522,4.708254678,19.61772783
5.94,0.86,193.595,0.03,154.65,11.342,2.152037041,5.270355381,21.95981409
6.03,0.895,187.225,0.11,163.6,11.888,2.366081923,5.02433998,20.93474992
5.935,0.85,189.005,0.065,171.55,11.142,2.100511045,5.30442343,22.10176429
5.905,0.795,187.495,0.07,153.8,8.926,1.828186737,4.882433407,20.34347253
6.035,0.86,192.49,0.065,132.4,10.636,2.186455142,4.864494952,20.26872897
5.88,0.83,190.6,0.07,119.25,10.796,1.984266067,5.440802612,22.67001088
5.71,0.82,190.09,0.07,126.95,10.76,1.880746264,5.721133258,23.83805524
5.825,0.85,192.53,0.055,214.05,9.598,2.061579922,4.655652638,19.39855266
5.715,0.805,192.565,0.12,296.85,8.726,1.814155,4.809952842,20.04147018
5.605,0.705,193.465,0.24,316.4,5.904,1.364646751,4.326394354,18.02664314
5.715,0.7,184.46,0.215,317.6,6.642,1.371761815,4.841948454,20.17478523
5.685,0.645,190.47,0.085,166.9,5.846,1.158554032,5.045945064,21.0247711
5.41,0.605,183.27,0.06,96.05,5.174,0.970005974,5.333987766,22.22494902
5.495,0.64,183.855,0.03,80.85,4.908,1.1025392,4.451542403,18.54809335
5.21,0.645,185.56,0.055,98.35,4.392,1.061753124,4.136554819,17.23564508
5.025,0.61,186.035,0.07,96.9,3.882,0.915929677,4.238316649,17.65965271
4.84,0.665,185.225,0.155,88,5.284,1.048467679,5.039735709,20.99889879
4.785,0.72,184.69,0.175,74.9,5.83,1.215103662,4.797944556,19.99143565
4.79,0.72,185.14,0.16,47.55,6.006,1.216373363,4.937628679,20.57345283
4.45,0.78,179.245,0.155,328,7.8,1.326220116,5.881376631,24.50573596
